chrom	pos
1	1127258
1	1222897
1	1878651
1	2286661
1	2292427
1	2329783
1	2350287
1	2351678
1	2562891
1	2581777
1	2595307
1	2620461
1	2796762
1	2840056
1	2881291
1	2959960
1	3027963
1	3089719
1	3103682
1	3130688
1	3156128
1	3167148
1	3188066
1	3292266
1	3298168
1	3331534
1	3345118
1	3368740
1	3384243
1	3412095
1	3432949
1	3534441
1	3675872
1	3700037
1	3761369
1	3775163
1	3887191
1	3997428
1	4098895
1	4109988
1	4167404
1	4211466
1	4222726
1	4255144
1	4268416
1	4281783
1	4304166
1	4310325
1	4310429
1	4319627
1	4345938
1	4365354
1	4421155
1	4429338
1	4436196
1	4474290
1	4501902
1	4518435
1	4576707
1	4589256
1	4608610
1	4625612
1	4638499
1	4641198
1	4663758
1	4665436
1	4677998
1	4678618
1	4721091
1	4724496
1	4771016
1	4775315
1	4784316
1	4787534
1	4801100
1	4827952
1	4846723
1	4892728
1	4895802
1	4920632
1	4921443
1	4927364
1	4932144
1	4943444
1	4961140
1	5064799
1	5108603
1	5110652
1	5135311
1	5150064
1	5235116
1	5247016
1	5249195
1	5252105
1	5253385
1	5261079
1	5275539
1	5294784
1	5425117
1	5431983
1	5454134
1	5489465
1	5496007
1	5543790
1	5599527
1	5611726
1	5614374
1	5620512
1	5624241
1	5641263
1	5643492
1	5652771
1	5664880
1	5768979
1	5771541
1	5820406
1	5853561
1	5860982
1	6019332
1	6040253
1	6115429
1	6162441
1	6350964
1	6434339
1	6464441
1	6644575
1	6652712
1	6735170
1	6813872
1	6869700
1	6916166
1	6931865
1	6992506
1	7028795
1	7071132
1	7090467
1	7090517
1	7119419
1	7119661
1	7160910
1	7181463
1	7258388
1	7271000
1	7288883
1	7291374
1	7301278
1	7319138
1	7418016
1	7460541
1	7461419
1	7509542
1	7515606
1	7538034
1	7540845
1	7551546
1	7557424
1	7671670
1	7698700
1	7732351
1	7777782
1	7785635
1	7803233
1	7821720
1	7837073
1	7858046
1	7866482
1	7895834
1	7901146
1	7911018
1	7939542
1	8132838
1	8135166
1	8162096
1	8184085
1	8232701
1	8253834
1	8278295
1	8322547
1	8335500
1	8466082
1	8494411
1	8858736
1	8866809
1	8918455
1	8931814
1	8940823
1	8950346
1	8978963
1	8988973
1	9000730
1	9058537
1	9069886
1	9080019
1	9122855
1	9130195
1	9185513
1	9240549
1	9280979
1	9287219
1	9307849
1	9319634
1	9367810
1	9387312
1	9454787
1	9475244
1	9633930
1	9644867
1	9862187
1	9969855
1	10095225
1	10176344
1	10205548
1	10282571
1	10391742
1	10506158
1	10521601
1	10549448
1	10553287
1	10613037
1	10644631
1	10707728
1	10736809
1	10814465
1	10829969
1	10862410
1	10864216
1	10880838
1	10914272
1	10920941
1	10926251
1	10986798
1	10993044
1	11000018
1	11002986
1	11441374
1	11458340
1	11535274
1	11594434
1	11596627
1	11694111
1	11714899
1	11764246
1	11790870
1	11792243
1	11796321
1	11802721
1	11846011
1	11847591
1	11849457
1	11865243
1	11876267
1	11877347
1	11913831
1	11999355
1	12044991
1	12075469
1	12120748
1	12124366
1	12129504
1	12146809
1	12192898
1	12208442
1	12256527
1	12559066
1	12565072
1	12603769
1	12611224
1	12618735
1	12622568
1	12748643
1	12764075
1	13456887
1	13475857
1	13482773
1	13489669
1	13504122
1	13510718
1	13511134
1	13526188
1	13533075
1	13554027
1	13558784
1	13582195
1	13588414
1	13610786
1	13626369
1	13628231
1	13674523
1	13769925
1	13797603
1	13797615
1	13820440
1	13821946
1	13864174
1	13891943
1	13898504
1	13901582
1	13913615
1	13925877
1	13929352
1	13935414
1	13954956
1	14033285
1	14041794
1	14058640
1	14114889
1	14118301
1	14160789
1	14170292
1	14182781
1	14249497
1	14323381
1	14330605
1	14350414
1	14365776
1	14373027
1	14374333
1	14429331
1	14464135
1	14504488
1	14514693
1	14518963
1	14522592
1	14544072
1	14549536
1	14575756
1	14655424
1	14683441
1	14724028
1	14807172
1	14862803
1	14918265
1	14954327
1	14980982
1	15001655
1	15014917
1	15021144
1	15026324
1	15033471
1	15042057
1	15104399
1	15203764
1	15205634
1	15214189
1	15224029
1	15240307
1	15262263
1	15279957
1	15284113
1	15289643
1	15361318
1	15370687
1	15382044
1	15406297
1	15482377
1	15498700
1	15660052
1	15675093
1	15753676
1	15760765
1	15862186
1	15951152
1	15972817
1	16000927
1	16019240
1	16046629
1	16066862
1	16139508
1	16179413
1	16189310
1	16256191
1	16326804
1	16433121
1	17056067
1	17062275
1	17090758
1	17118274
1	17150336
1	17176715
1	17184208
1	17205087
1	17215454
1	17225448
1	17234477
1	17259639
1	17262553
1	17274588
1	17296159
1	17331039
1	17348042
1	17388369
1	17446663
1	17452075
1	17552124
1	17559361
1	17581010
1	17589338
1	17726150
1	17733941
1	17772058
1	17795514
1	17797462
1	17802037
1	17837790
1	17863729
1	17885736
1	17888266
1	17904855
1	17946257
1	17984646
1	17985590
1	18000715
1	18009422
1	18025964
1	18038399
1	18066114
1	18098517
1	18100537
1	18111745
1	18121057
1	18141599
1	18143515
1	18195195
1	18200773
1	18206787
1	18235096
1	18246407
1	18316753
1	18317138
1	18353836
1	18358708
1	18369721
1	18375405
1	18383247
1	18389784
1	18402087
1	18425370
1	18441517
1	18450445
1	18454992
1	18463295
1	18465806
1	18470606
1	18485682
1	18490122
1	18534634
1	18549914
1	18587929
1	18691361
1	18694879
1	18723121
1	18793112
1	18793357
1	18796539
1	18840877
